"Aplicativo","DataHora","Data","Usuario","Descricao","Fonte","StatusProducao"
"WGLCTONOTA.ZIP","04/08/2026 11:04:26","04/08/2026","1077","## Entrada de Notas — Configuração Financeira | - Incluída configuração de meio de pagamento e espécie de documento por fornecedor, com prevalência sobre a configuração da loja. | - Permite selecionar ou alterar essas configurações na etapa de faturas das entradas manual e assistida; a seleção da fatura prevalece sobre as configurações padrão. | - Atualizadas as validações e mensagens para orientar a configuração por fornecedor ou loja. | - Na entrada manual, ao alterar o fornecedor, produtos, faturas e configurações financeiras carregadas são limpos.","Portal Gerencial Weber - alteracoes beta por intervalo de data","Nao confirmado"
"WGLCTONOTA.ZIP","04/08/2026 17:14:17","04/08/2026","1077","---- | Adicionada validação de configuração financeira ao abrir o Controle de Entradas. | Regra central de gravação preservada. | ---- | Raking de produtos comprados: | Corrigida a ordenação do Ranking por valor numérico. | Corrigida a ordenação do Código do Produto. | Corrigida a ordenação cronológica de Última Compra. | ---- | Analise: Variação de preço de compra | Corrigida a ordenação numérica da coluna Produto. | Corrigida a ordenação cronológica de Data de Entrada e Data Anterior. | ---- | Corrigido layout do valor total do item no lançamento manual. | Grades da revisão com redimensionamento de colunas habilitado. | ----","Portal Gerencial Weber - alteracoes beta por intervalo de data","Nao confirmado"
"WGLCTONOTA.ZIP","05/08/2026 09:23:52","05/08/2026","1077","Ajuste overflow na serie da NF na entrada manual.","Portal Gerencial Weber - alteracoes beta por intervalo de data","Nao confirmado"
"WGLCTONOTA.ZIP","05/08/2026 10:34:57","05/08/2026","1077","Ajustado coluna Conv. CFOP da etapa de CFOP/CST da entrada manual, mas segue a situação auto-size.","Portal Gerencial Weber - alteracoes beta por intervalo de data","Nao confirmado"
"WGLCTONOTA.ZIP","05/08/2026 13:20:47","05/08/2026","1077","Corrigido Dashboard: As duas roscas agora reduzem automaticamente o raio interno conforme a área útil do gráfico; em 1366×768 elas permanecem inteiras, sem invadir a grade","Portal Gerencial Weber - alteracoes beta por intervalo de data","Nao confirmado"
"WGLCTONOTA.ZIP","05/08/2026 16:55:38","05/08/2026","1077","- Corrigida a conversão da quantidade do item na tela de lotes da Entrada Assistida. | - Lotes importados do XML agora exibem a quantidade já convertida pelo fator da associação. | - Exemplo: `0,100 MIL × 50` passa a exibir `5,000` unidades. | - Validação de quantidade inteira dos lotes passa a considerar o valor convertido.","Portal Gerencial Weber - alteracoes beta por intervalo de data","Nao confirmado"
"WGLCTONOTA.ZIP","06/08/2026 10:15:39","06/08/2026","1077","- Ajustado responsividade do Dashboard","Portal Gerencial Weber - alteracoes beta por intervalo de data","Nao confirmado"
"WGLCTONOTA.ZIP","06/08/2026 10:34:15","06/08/2026","1077","Ajustado posição das colunas da etapa de conversão CFOP e CST","Portal Gerencial Weber - alteracoes beta por intervalo de data","Nao confirmado"
"WGLCTONOTA.ZIP","06/08/2026 11:02:53","06/08/2026","1077","Adicionado validação da configuração de plano financeiro sugerido ao abrir o módulo, mas mantem validação antes da gravação da entrada.","Portal Gerencial Weber - alteracoes beta por intervalo de data","Nao confirmado"
"WGLCTONOTA.ZIP","06/08/2026 13:13:08","06/08/2026","1077","Bloqueado edição do local e a variação de estoque na auditoria do item.","Portal Gerencial Weber - alteracoes beta por intervalo de data","Nao confirmado"
"WGLCTONOTA.ZIP","06/08/2026 14:09:49","06/08/2026","1077","Adicionado opção ""Logs - Auditoria"" no Dashboard. | - Esta opção é controlada pela permissão ""Consultar logs de auditoria""","Portal Gerencial Weber - alteracoes beta por intervalo de data","Nao confirmado"
"WGLCTONOTA.ZIP","12/08/2026 15:05:24","12/08/2026","1077","- Incluído lançamento, importação e leitura de XML de CT-e modelo 57. | - Implementado vínculo e rateio de CT-e nos itens das NF-es. | - Adicionados frete bruto e crédito tributário do CT-e nos itens de entrada. | - Atualização automática de custos do rateio CT-e e tabelas de preços conforme configurações e produtos associados. | - Auditoria da entrada agora exibe Frete CT-e e Crédito CT-e. | - Fórmulas de Compra e Custo Final disponíveis por tooltip na auditoria, centralizadas com o cálculo para evitar divergências futuras. | - Entrada manual: validação de UF para aceitar somente estados brasileiros válidos. | - Entrada manual: validação de CFOP por origem, bloqueando a inclusão de itens com primeiro dígito diferente na mesma nota. | - Entrada manual: CST/CSOSN filtrado e validado pelo regime tributário do fornecedor, conforme enum próprio do fluxo manual.","Portal Gerencial Weber - alteracoes beta por intervalo de data","Nao confirmado"
"WGLCTONOTA.ZIP","12/08/2026 17:05:54","12/08/2026","1077","-Liberado filtros de Status NF e Tipo/Condição | -Melhorar mensagem de cadastro de Usuario Master ( Especifica o caminho de onde configurar caso não tenha configurado ainda )","Portal Gerencial Weber - alteracoes beta por intervalo de data","Nao confirmado"
"WGLCTONOTA.ZIP","18/08/2026 15:18:06","18/08/2026","1077","Ajuste em NF-es referenciadas no CT-e: | - Grade de NF-e agora exibe valor total, fornecedor e data/hora de lançamento. | - Adicionado “Ver NF-e” ao lado de “Ignorar justificadamente”. | ---------------- | Ajuste em grade “Memória do rateio” no CT-e: | - Agrupa fixamente por versão, sem permitir remover o agrupamento. | - Ordena versões da mais recente para a mais antiga. | - Expande somente a versão mais recente ao carregar. | - Mostra, no rodapé de cada versão, os totais de frete bruto, crédito e frete custo.","Portal Gerencial Weber - alteracoes beta por intervalo de data","Nao confirmado"
"WGLCTONOTA.ZIP","18/08/2026 15:24:20","18/08/2026","1077","Ajuste em NF-es referenciadas no CT-e: | - Grade de NF-e agora exibe valor total, fornecedor e data/hora de lançamento. | - Adicionado “Ver NF-e” ao lado de “Ignorar justificadamente”. | ---------------- | Ajuste em grade “Memória do rateio” no CT-e: | - Agrupa fixamente por versão, sem permitir remover o agrupamento. | - Ordena versões da mais recente para a mais antiga. | - Expande somente a versão mais recente ao carregar. | - Mostra, no rodapé de cada versão, os totais de frete bruto, crédito e frete custo. | ------------- | Ajuste no botão Cancelar CT-e: | -Tooltip no botão “Cancelar CT-e” explicando que o cancelamento é interno, estorna o rateio e altera o status, sem cancelar na SEFAZ. | -Confirmação reforçada com as mesmas informações e a pergunta “Deseja continuar com essas informações?”.","Portal Gerencial Weber - alteracoes beta por intervalo de data","Nao confirmado"
"WGLCTONOTA.ZIP","19/08/2026 15:55:08","19/08/2026","1077","A revisão da entrada assistida agora mostra PIS e COFINS calculados pelas regras de entrada.","Portal Gerencial Weber - alteracoes beta por intervalo de data","Nao confirmado"
"WGLCTONOTA.ZIP","25/08/2026 15:53:18","25/08/2026","1077","Ajuste na validação do ICMs na auditoria do item da entrada de notas","Portal Gerencial Weber - alteracoes beta por intervalo de data","Nao confirmado"
"WGLCTONOTA.ZIP","26/08/2026 10:04:29","26/08/2026","1077","Recompilado devido a desativação da gravação de log em LOG_FORM.","Portal Gerencial Weber - alteracoes beta por intervalo de data","Nao confirmado"
"WGLCTONOTA.ZIP","03/09/2026 18:02:59","03/09/2026","1077","Recompilado por conta de alteração no utilitários para não gravar mais LOG_FORM","Portal Gerencial Weber - alteracoes beta por intervalo de data","Nao confirmado"
"WGLCTONOTA.ZIP","04/09/2026 16:10:52","04/09/2026","1077","Desativado obrigatoriamente a loja a ter estoque novo para usar o módulo de controle de entradas","Portal Gerencial Weber - alteracoes beta por intervalo de data","Nao confirmado"
"WGLCTONOTA.ZIP","11/09/2026 15:05:50","11/09/2026","1077","Ajustado botão de cadastro de produtos na tela de associação de código do fornecedor","Portal Gerencial Weber - alteracoes beta por intervalo de data","Nao confirmado"
"WGLOGS.ZIP","06/08/2026 13:45:22","06/08/2026","1077","Adicionado parametro nomeExecutavel na chamada DLL de log ações gerais para já trazer os resultados filtrados pelo exeutável em questão.","Portal Gerencial Weber - alteracoes beta por intervalo de data","Nao confirmado"
"WGLOGS.ZIP","26/08/2026 10:24:14","26/08/2026","1077","Recompilado devido a desativação da gravação de log em LOG_FORM.","Portal Gerencial Weber - alteracoes beta por intervalo de data","Nao confirmado"
"WGNFE.ZIP","13/08/2026 15:55:20","13/08/2026","1077","Corrigido: a devolução agora grava a alíquota original do XML (ALIQ_IPI) conforme demanda IOS #995","Portal Gerencial Weber - alteracoes beta por intervalo de data","Nao confirmado"
"WGNFE.ZIP","26/08/2026 10:16:41","26/08/2026","1077","Recompilado devido a desativação da gravação de log em LOG_FORM.","Portal Gerencial Weber - alteracoes beta por intervalo de data","Nao confirmado"
"WGNOTIFICACOES.ZIP","13/08/2026 18:08:02","13/08/2026","1077","Ajuste no sobre da configuração: Estoque Mínimo em Tempo Real | Correção de português e melhoramento da descrição.","Portal Gerencial Weber - alteracoes beta por intervalo de data","Nao confirmado"
"WGNOTIFICACOES.ZIP","27/08/2026 09:17:53","27/08/2026","1077","Criado notificações ""Produtos sem Ajuste Tributário"" e ""Produtos Rejeitados pelo Ajuste Weber Tributário""","Portal Gerencial Weber - alteracoes beta por intervalo de data","Nao confirmado"
"WGNOTIFICACOES.ZIP","31/08/2026 13:25:12","31/08/2026","1077","Criado nova notificação ""Carga PDV Desatualizada""","Portal Gerencial Weber - alteracoes beta por intervalo de data","Nao confirmado"
"WGPED.ZIP","26/08/2026 10:11:22","26/08/2026","2152","Recompilado para adequar a desativação temporária da gravação do LOG_FORM no utilitários","Portal Gerencial Weber - alteracoes beta por intervalo de data","Nao confirmado"
"WGPESSOA.ZIP","26/08/2026 10:14:16","26/08/2026","2152","Recompilado por conta de alteração no utilitários para não gravar mais LOG_FORM","Portal Gerencial Weber - alteracoes beta por intervalo de data","Nao confirmado"
"WGPRECOS.ZIP","06/08/2026 10:22:35","06/08/2026","1190","- Correções pontuais na grade de precificação.","Portal Gerencial Weber - alteracoes beta por intervalo de data","Nao confirmado"
"WGPRECOS.ZIP","27/08/2026 17:44:24","27/08/2026","1190","- Ajustes e correções conforme demandas via PlannerX. | - Recompilação do Projeto visando atualizar Utilitarios.cs","Portal Gerencial Weber - alteracoes beta por intervalo de data","Nao confirmado"
"WGPRODUTOS.ZIP","13/08/2026 14:54:57","13/08/2026","1077","Adicionado tooltip sobre o campo Lei Complementar 224/2025.","Portal Gerencial Weber - alteracoes beta por intervalo de data","Nao confirmado"
"WGPRODUTOS.ZIP","26/08/2026 10:20:08","26/08/2026","1077","Recompilado devido a desativação da gravação de log em LOG_FORM.","Portal Gerencial Weber - alteracoes beta por intervalo de data","Nao confirmado"
"WGPRODUTOS.ZIP","01/09/2026 15:44:34","01/09/2026","1077","Removido opção de chamada teste da nova entrada de notas agora que o Menu tem a opção padrão","Portal Gerencial Weber - alteracoes beta por intervalo de data","Nao confirmado"
"WGREPORT.ZIP","21/08/2026 08:51:13","21/08/2026","1077","Criado relatório ""Produtos > Promoções ativas no produto""","Portal Gerencial Weber - alteracoes beta por intervalo de data","Nao confirmado"
"WGREPORT.ZIP","21/08/2026 09:29:31","21/08/2026","1077","Criado relatório ""Produtos > Promoções ativas no produto""","Portal Gerencial Weber - alteracoes beta por intervalo de data","Nao confirmado"
